Time,Clean,LessNoisy,Noisy,FilteredLessNoisy,FilteredNoisy
0.000000,0.000000,-0.219392,0.857584,0.335810,1.100072
0.002000,0.374763,0.491488,0.000842,0.550501,1.048285
0.004000,0.736249,0.735335,2.551197,0.726132,1.789826
0.006000,1.071654,1.258502,2.998383,1.072496,1.888262
0.008000,1.369094,1.343949,1.687937,1.399825,1.984355
0.010000,1.618034,1.533207,1.782861,1.622235,1.994821
0.012000,1.809654,2.128133,0.901396,1.702497,1.588822
0.014000,1.937166,1.847383,2.603528,1.943090,1.349337
0.016000,1.996053,1.659811,0.968386,2.010786,0.998461
0.018000,1.984229,2.546918,0.490515,1.942376,1.174009
0.020000,1.902113,1.871682,0.028479,1.840091,1.185739
0.022000,1.752613,1.786085,2.826525,1.704854,1.420275
0.024000,1.541026,1.335959,2.016049,1.330082,1.303665
0.026000,1.274848,0.718078,0.406444,1.185309,1.156920
0.028000,0.963507,0.938604,0.103842,0.958410,0.731679
0.030000,0.618034,1.147820,0.771790,0.696362,0.176747
0.032000,0.250666,0.651587,0.360272,0.538024,-0.012755
0.034000,-0.125581,0.025723,-0.758615,0.110119,-0.002619
0.036000,-0.497380,-0.180877,-0.541065,-0.243857,-0.572602
0.038000,-0.851558,-0.714112,0.154525,-0.751505,-0.539583
0.040000,-1.175570,-1.320578,-2.078127,-1.138233,-1.059961
0.042000,-1.457937,-1.762130,0.525368,-1.498081,-0.409428
0.044000,-1.688656,-1.360085,-2.108785,-1.707377,-1.688679
0.046000,-1.859553,-2.200237,-2.974590,-1.908291,-2.715667
0.048000,-1.964574,-1.893856,-0.006268,-1.954227,-0.971094
0.050000,-2.000000,-2.325149,-4.973582,-2.210809,-4.064162
0.052000,-1.964574,-1.991808,-2.535493,-2.127598,-2.477408
0.054000,-1.859553,-2.642995,-2.721650,-2.076248,-2.705494
0.056000,-1.688656,-1.784182,-1.666235,-1.859499,-1.920331
0.058000,-1.457937,-1.637107,-1.587095,-1.708004,-1.597669
0.060000,-1.175571,-1.241405,-1.091180,-1.341072,-1.211013
0.062000,-0.851559,-1.287529,-0.922187,-1.049230,-0.711519
0.064000,-0.497380,-0.755135,-0.788367,-0.689085,-0.349868
0.066000,-0.125581,-0.324974,0.831233,-0.284004,-0.162039
0.068000,0.250667,0.453960,0.221159,0.317725,0.181506
0.070000,0.618034,0.846752,-0.152032,0.566929,0.625361
0.072000,0.963507,0.803140,0.795535,0.912155,0.893226
0.074000,1.274848,1.016006,1.430909,1.164239,1.389841
0.076000,1.541026,1.440919,2.170557,1.270152,1.767719
0.078000,1.752614,1.714376,2.697088,1.535409,2.241716
0.080000,1.902113,1.376318,1.744507,1.765403,2.014114
0.082000,1.984229,2.129427,3.165518,1.937124,2.038693
0.084000,1.996053,2.165975,0.292900,1.880977,1.380013
0.086000,1.937166,2.299522,0.589617,1.924638,0.976671
0.088000,1.809654,1.433644,1.367365,1.716578,0.566133
0.090000,1.618033,1.594622,0.050721,1.568338,0.789293
0.092000,1.369095,1.089126,0.530063,1.275911,0.888069
0.094000,1.071654,1.424775,1.408700,1.096347,0.856278
0.096000,0.736249,0.837389,1.083494,0.764046,0.608936
0.098000,0.374763,0.535824,1.208411,0.488342,0.518055
0.100000,-0.000000,-0.208484,-1.185987,-0.044632,-0.533386
0.102000,-0.374763,-0.389879,-0.845886,-0.408263,-0.611608
0.104000,-0.736249,-0.643087,-1.577887,-0.643033,-1.290829
0.106000,-1.071654,-1.407816,-0.656692,-1.057435,-1.501164
0.108000,-1.369095,-0.565898,-2.187692,-1.017585,-1.518386
0.110000,-1.618034,-1.769487,-2.237662,-1.702404,-1.427640
0.112000,-1.809654,-2.061407,-0.931995,-1.861074,-1.565113
0.114000,-1.937166,-2.431241,-1.124159,-2.034147,-1.429164
0.116000,-1.996053,-1.717028,-1.344059,-1.918825,-1.558225
0.118000,-1.984229,-2.191572,-1.507947,-1.876317,-1.673325
0.120000,-1.902113,-1.192877,-2.882965,-1.724842,-2.004743
0.122000,-1.752613,-1.848866,-1.507493,-1.621655,-1.970984
0.124000,-1.541026,-1.673869,-2.781249,-1.373371,-2.107520
0.126000,-1.274848,-1.201089,-1.175263,-1.334236,-1.842236
0.128000,-0.963507,-0.950155,-2.190627,-1.138667,-1.888041
0.130000,-0.618035,-0.997203,-1.556546,-0.787594,-1.480031
0.132000,-0.250666,-0.871020,-1.736518,-0.596454,-1.388417
0.134000,0.125582,0.081498,-0.741203,0.007387,-0.495320
0.136000,0.497381,0.285470,2.400416,0.284613,1.732941
0.138000,0.851558,0.987738,1.324620,0.738816,1.263670
0.140000,1.175570,0.934830,1.959081,1.058796,1.678703
0.142000,1.457938,1.373148,1.317961,1.280265,1.255628
0.144000,1.688656,1.790314,1.391436,1.427319,1.472727
0.146000,1.859553,1.315295,0.285044,1.670104,1.543855
0.148000,1.964574,1.723006,2.410111,1.744331,1.493229
0.150000,2.000000,2.148759,2.314726,1.732092,1.585135
0.152000,1.964575,1.744283,1.064826,1.781244,2.311156
0.154000,1.859553,1.729114,1.850969,1.782744,1.974998
0.156000,1.688656,1.561059,3.915148,1.614668,2.466986
0.158000,1.457937,1.730506,0.865318,1.398729,1.700821
0.160000,1.175571,1.308380,2.633909,1.184033,2.196898
0.162000,0.851558,0.664585,0.831850,0.833494,0.821745
0.164000,0.497379,0.655633,-0.581981,0.581175,0.260209
0.166000,0.125582,0.140159,0.353468,0.236555,-0.065001
0.168000,-0.250666,0.137120,-0.405878,-0.026728,-0.484312
0.170000,-0.618035,-0.414722,-0.522466,-0.457891,-0.757328
0.172000,-0.963509,-0.978902,-1.264705,-0.932222,-1.167130
0.174000,-1.274847,-1.278814,-1.947061,-1.270363,-1.459047
0.176000,-1.541025,-1.859746,-1.695538,-1.537743,-1.954106
0.178000,-1.752614,-1.806711,-1.865464,-1.796815,-2.076761
0.180000,-1.902114,-1.764540,-2.997760,-1.924576,-1.918428
0.182000,-1.984229,-2.274266,-1.877979,-1.811381,-2.142865
0.184000,-1.996054,-1.917615,-1.155398,-1.737260,-1.870529
0.186000,-1.937167,-1.293774,-2.817724,-1.597752,-1.651347
0.188000,-1.809654,-1.436104,-0.503785,-1.460893,-1.583627
0.190000,-1.618034,-1.067001,-1.901851,-1.242524,-2.067299
0.192000,-1.369095,-1.589969,-3.822848,-1.043497,-2.815634
0.194000,-1.071654,-0.825774,-1.544047,-0.856840,-1.396685
0.196000,-0.736249,-0.298639,0.794558,-0.497656,0.494548
0.198000,-0.374763,-0.502819,1.749348,-0.232330,0.622086
0.200000,0.000000,0.174856,0.618282,0.121619,1.008695
0.202000,0.374763,0.719417,0.426495,0.478580,1.004453
0.204000,0.736250,0.515279,1.454790,0.733653,1.133963
0.206000,1.071654,1.098990,0.773350,1.010523,1.581389
0.208000,1.369095,1.159725,2.396900,1.265629,2.009063
0.210000,1.618032,1.559206,2.855410,1.662653,1.932124
0.212000,1.809655,2.556505,2.564866,1.904618,2.014448
0.214000,1.937167,2.184745,1.070091,1.997705,1.999973
0.216000,1.996054,1.888042,1.184973,1.983049,2.050426
0.218000,1.984230,1.800027,2.324525,1.880118,2.183906
0.220000,1.902112,1.485926,3.107675,1.689227,2.316034
0.222000,1.752612,2.041850,3.232265,1.545771,2.241414
0.224000,1.541025,1.230289,1.730732,1.315794,1.861259
0.226000,1.274849,1.170765,0.811874,1.209783,1.509013
0.228000,0.963509,0.650142,0.593761,0.727359,0.833884
0.230000,0.618032,0.955867,1.176432,0.615584,0.168333
0.232000,0.250668,-0.249686,-0.143380,-0.103314,0.177951
0.234000,-0.125580,0.065743,-1.597022,-0.064576,-0.233883
0.236000,-0.497379,-1.045905,0.864775,-0.675009,-0.672396
0.238000,-0.851561,-1.114774,-0.831602,-0.937253,-1.075824
0.240000,-1.175570,-0.971213,-1.654752,-1.074871,-1.497231
0.242000,-1.457937,-1.457502,-3.930855,-1.197639,-2.526853
0.244000,-1.688656,-0.784960,-0.743934,-1.391320,-1.902469
0.246000,-1.859553,-1.659747,-2.461430,-1.514472,-2.258666
0.248000,-1.964574,-2.083178,-1.684546,-1.721096,-2.031559
0.250000,-2.000000,-1.586971,-2.350816,-1.752484,-2.220061
0.252000,-1.964574,-2.228610,-2.917068,-1.705270,-1.922335
0.254000,-1.859553,-1.203915,-1.686445,-1.591673,-1.704689
0.256000,-1.688655,-1.423677,0.376193,-1.549253,-1.183992
0.258000,-1.457939,-1.515191,-1.971626,-1.229165,-0.974811
0.260000,-1.175573,-1.374872,-1.259073,-1.090413,-0.967498
0.262000,-0.851561,-0.628172,-0.333103,-0.708572,-1.291102
0.264000,-0.497379,-0.510153,-1.649881,-0.447112,-0.853686
0.266000,-0.125580,0.189844,-1.241825,0.019188,-0.412758
0.268000,0.250668,0.296030,0.215451,0.334414,-0.193370
0.270000,0.618036,0.665023,0.945569,0.753547,0.357800
0.272000,0.963509,1.081442,0.590796,1.022894,0.745449
0.274000,1.274847,1.710516,1.279009,1.457588,0.957229
0.276000,1.541025,1.331091,0.696422,1.667985,1.253729
0.278000,1.752613,2.197173,1.274350,1.850319,1.719846
0.280000,1.902113,2.019705,3.946285,1.935311,2.457222
0.282000,1.984230,1.993109,2.121864,2.269528,2.335617
0.284000,1.996053,2.135475,2.352868,2.254746,2.347139
0.286000,1.937166,3.002179,1.982716,2.527728,1.884013
0.288000,1.809654,2.123264,1.331965,2.052814,1.627342
0.290000,1.618034,0.881382,1.630650,1.191107,1.076509
0.292000,1.369095,1.726293,0.838513,1.450230,0.831831
0.294000,1.071654,0.963420,-0.401301,0.855481,0.828475
0.296000,0.736249,0.272590,0.759326,0.570201,0.480736
0.298000,0.374763,0.271717,1.315188,0.334078,0.024107
0.300000,-0.000004,0.316796,-0.108047,-0.009774,-0.076539
0.302000,-0.374759,-0.154132,-1.444632,-0.215631,-0.381025
0.304000,-0.736246,-0.755839,-0.894934,-0.722438,-0.925108
0.306000,-1.071654,-0.756697,-0.772698,-0.902734,-1.171283
0.308000,-1.369095,-1.982290,-1.405227,-1.256007,-0.993070
0.310000,-1.618034,-1.444349,-1.338925,-1.536110,-1.281014
0.312000,-1.809655,-1.340859,-0.553568,-1.869485,-1.647435
0.314000,-1.937167,-2.271554,-2.334651,-1.922698,-1.790410
0.316000,-1.996054,-2.308371,-2.604805,-2.066746,-2.038023
0.318000,-1.984230,-2.248355,-2.120099,-2.019365,-2.113068
0.320000,-1.902114,-2.164594,-2.576989,-1.932732,-2.486624
0.322000,-1.752614,-1.103949,-0.928797,-1.796516,-1.849135
0.324000,-1.541025,-1.838392,-4.156891,-1.534817,-2.718347
0.326000,-1.274846,-1.627290,-1.158092,-1.305827,-1.413773
0.328000,-0.963505,-0.939859,-1.440603,-0.961021,-1.444883
0.330000,-0.618032,-1.019645,-0.382383,-0.863120,-0.804148
0.332000,-0.250668,0.427357,-0.110414,0.220508,-0.702393
0.334000,0.125580,0.180391,-0.929246,0.208776,-0.112791
0.336000,0.497379,0.858991,-0.649320,0.745070,-0.220835
0.338000,0.851558,0.743538,1.507410,0.933411,1.376511
0.340000,1.175573,1.515075,3.863324,1.350988,2.805405
0.342000,1.457940,1.490553,1.689522,1.602434,2.143521
0.344000,1.688658,2.085131,1.814049,1.923349,2.269339
0.346000,1.859552,2.594362,1.843299,1.948657,1.429572
0.348000,1.964574,1.931624,2.136501,2.036712,1.484947
0.350000,2.000000,1.641616,-0.335511,1.944457,0.834767
0.352000,1.964575,1.930828,1.966398,1.810400,1.855271
0.354000,1.859551,1.623855,3.984021,1.665507,2.831504
0.356000,1.688653,1.924075,0.915884,1.592959,1.518041
0.358000,1.457934,1.207159,0.664623,1.449939,1.277497
0.360000,1.175567,1.278878,1.388858,1.202888,0.569823
0.362000,0.851561,1.215727,1.020236,0.877837,0.523586
0.364000,0.497382,0.326930,-1.517207,0.389950,0.330578
0.366000,0.125583,0.360491,0.856870,0.258764,0.202936
0.368000,-0.250664,-0.764019,0.666357,-0.312700,-0.116243
0.370000,-0.618032,-0.422753,-0.011577,-0.459656,0.159654
0.372000,-0.963506,-0.761523,-0.575658,-0.858601,-0.380714
0.374000,-1.274853,-0.710478,-0.137723,-0.991732,-0.909623
0.376000,-1.541025,-1.634233,-1.844968,-1.464488,-1.459895
0.378000,-1.752613,-1.636128,-1.978189,-1.471276,-1.505917
