Time,Clean,LessNoisy,Noisy,KalmanLessNoisy,KalmanNoisy
0.000000,0.000000,-0.219392,0.857584,-0.219392,0.857584
0.002000,0.374763,0.491488,0.000842,0.137801,0.567288
0.004000,0.736249,0.735335,2.551197,0.362450,1.080368
0.006000,1.071654,1.258502,2.998383,0.651405,1.486493
0.008000,1.369094,1.343949,1.687937,0.857091,1.523055
0.010000,1.618034,1.533207,1.782861,1.049230,1.564811
0.012000,1.809654,2.128133,0.901396,1.348680,1.468068
0.014000,1.937166,1.847383,2.603528,1.485362,1.621147
0.016000,1.996053,1.659811,0.968386,1.532853,1.538575
0.018000,1.984229,2.546918,0.490515,1.807932,1.412699
0.020000,1.902113,1.871682,0.028479,1.825192,1.253340
0.022000,1.752613,1.786085,2.826525,1.814615,1.428294
0.024000,1.541026,1.335959,2.016049,1.685223,1.491834
0.026000,1.274848,0.718078,0.406444,1.423857,1.377183
0.028000,0.963507,0.938604,0.103842,1.292740,1.245206
0.030000,0.618034,1.147820,0.771790,1.253585,1.196895
0.032000,0.250666,0.651587,0.360272,1.090943,1.112598
0.034000,-0.125581,0.025723,-0.758615,0.803160,0.926010
0.036000,-0.497380,-0.180877,-0.541065,0.537313,0.780964
0.038000,-0.851558,-0.714112,0.154525,0.199230,0.719461
0.040000,-1.175570,-1.320578,-2.078127,-0.211357,0.446365
0.042000,-1.457937,-1.762130,0.525368,-0.630309,0.454041
0.044000,-1.688656,-1.360085,-2.108785,-0.827463,0.205985
0.046000,-1.859553,-2.200237,-2.974590,-1.198327,-0.100897
0.048000,-1.964574,-1.893856,-0.006268,-1.386228,-0.091790
0.050000,-2.000000,-2.325149,-4.973582,-1.639884,-0.560615
0.052000,-1.964574,-1.991808,-2.535493,-1.734958,-0.749946
0.054000,-1.859553,-2.642995,-2.721650,-1.980270,-0.938707
0.056000,-1.688656,-1.784182,-1.666235,-1.927296,-1.008276
0.058000,-1.457937,-1.637107,-1.587095,-1.848899,-1.063572
0.060000,-1.175571,-1.241405,-1.091180,-1.684781,-1.066207
0.062000,-0.851559,-1.287529,-0.922187,-1.577461,-1.052468
0.064000,-0.497380,-0.755135,-0.788367,-1.355304,-1.027286
0.066000,-0.125581,-0.324974,0.831233,-1.076954,-0.850154
0.068000,0.250667,0.453960,0.221159,-0.663368,-0.748085
0.070000,0.618034,0.846752,-0.152032,-0.255400,-0.691312
0.072000,0.963507,0.803140,0.795535,0.030571,-0.549726
0.074000,1.274848,1.016006,1.430909,0.296793,-0.361156
0.076000,1.541026,1.440919,2.170557,0.605885,-0.120156
0.078000,1.752614,1.714376,2.697088,0.905351,0.147990
0.080000,1.902113,1.376318,1.744507,1.032586,0.299930
0.082000,1.984229,2.129427,3.165518,1.328904,0.572625
0.084000,1.996053,2.165975,0.292900,1.555044,0.546008
0.086000,1.937166,2.299522,0.589617,1.756169,0.550157
0.088000,1.809654,1.433644,1.367365,1.669037,0.627911
0.090000,1.618033,1.594622,0.050721,1.648933,0.572996
0.092000,1.369095,1.089126,0.530063,1.497698,0.568911
0.094000,1.071654,1.424775,1.408700,1.477997,0.648806
0.096000,0.736249,0.837389,1.083494,1.304933,0.690159
0.098000,0.374763,0.535824,1.208411,1.097153,0.739462
0.100000,-0.000000,-0.208484,-1.185987,0.744427,0.556292
0.102000,-0.374763,-0.389879,-0.845886,0.437987,0.422903
0.104000,-0.736249,-0.643087,-1.577887,0.145929,0.232570
0.106000,-1.071654,-1.407816,-0.656692,-0.273825,0.147976
0.108000,-1.369095,-0.565898,-2.187692,-0.352731,-0.074211
0.110000,-1.618034,-1.769487,-2.237662,-0.735476,-0.280014
0.112000,-1.809654,-2.061407,-0.931995,-1.093685,-0.342035
0.114000,-1.937166,-2.431241,-1.124159,-1.455034,-0.416435
0.116000,-1.996053,-1.717028,-1.344059,-1.525813,-0.504677
0.118000,-1.984229,-2.191572,-1.507947,-1.705672,-0.600114
0.120000,-1.902113,-1.192877,-2.882965,-1.567137,-0.817272
0.122000,-1.752613,-1.848866,-1.507493,-1.643248,-0.882929
0.124000,-1.541026,-1.673869,-2.781249,-1.651520,-1.063508
0.126000,-1.274848,-1.201089,-1.175263,-1.529834,-1.074139
0.128000,-0.963507,-0.950155,-2.190627,-1.373230,-1.180345
0.130000,-0.618035,-0.997203,-1.556546,-1.271644,-1.216131
0.132000,-0.250666,-0.871020,-1.736518,-1.163413,-1.265633
0.134000,0.125582,0.081498,-0.741203,-0.827092,-1.215747
0.136000,0.497381,0.285470,2.400416,-0.526527,-0.871759
0.138000,0.851558,0.987738,1.324620,-0.117439,-0.662828
0.140000,1.175570,0.934830,1.959081,0.166838,-0.413419
0.142000,1.457938,1.373148,1.317961,0.492730,-0.248721
0.144000,1.688656,1.790314,1.391436,0.843281,-0.092702
0.146000,1.859553,1.315295,0.285044,0.970798,-0.056768
0.148000,1.964574,1.723006,2.410111,1.174012,0.177893
0.150000,2.000000,2.148759,2.314726,1.437346,0.381159
0.152000,1.964575,1.744283,1.064826,1.520267,0.446193
0.154000,1.859553,1.729114,1.850969,1.576688,0.579822
0.156000,1.688656,1.561059,3.915148,1.572466,0.897095
0.158000,1.457937,1.730506,0.865318,1.615161,0.894072
0.160000,1.175571,1.308380,2.633909,1.532282,1.059574
0.162000,0.851558,0.664585,0.831850,1.297869,1.037912
0.164000,0.497379,0.655633,-0.581981,1.124365,0.883820
0.166000,0.125582,0.140159,0.353468,0.858475,0.833370
0.168000,-0.250666,0.137120,-0.405878,0.663597,0.715487
0.170000,-0.618035,-0.414722,-0.522466,0.372282,0.597726
0.172000,-0.963509,-0.978902,-1.264705,0.007251,0.420563
0.174000,-1.274847,-1.278814,-1.947061,-0.340187,0.195343
0.176000,-1.541025,-1.859746,-1.695538,-0.750705,0.015473
0.178000,-1.752614,-1.806711,-1.865464,-1.035992,-0.163451
0.180000,-1.902114,-1.764540,-2.997760,-1.232814,-0.433065
0.182000,-1.984229,-2.274266,-1.877979,-1.514169,-0.570512
0.184000,-1.996054,-1.917615,-1.155398,-1.623162,-0.626149
0.186000,-1.937167,-1.293774,-2.817724,-1.534176,-0.834623
0.188000,-1.809654,-1.436104,-0.503785,-1.507681,-0.803152
0.190000,-1.618034,-1.067001,-1.901851,-1.388629,-0.907665
0.192000,-1.369095,-1.589969,-3.822848,-1.443022,-1.184972
0.194000,-1.071654,-0.825774,-1.544047,-1.276269,-1.219129
0.196000,-0.736249,-0.298639,0.794558,-1.012156,-1.027577
0.198000,-0.374763,-0.502819,1.749348,-0.874555,-0.763422
0.200000,0.000000,0.174856,0.618282,-0.591050,-0.631988
0.202000,0.374763,0.719417,0.426495,-0.237020,-0.531300
0.204000,0.736250,0.515279,1.454790,-0.033781,-0.342373
0.206000,1.071654,1.098990,0.773350,0.272244,-0.236240
0.208000,1.369095,1.159725,2.396900,0.512002,0.014237
0.210000,1.618032,1.559206,2.855410,0.794911,0.284504
0.212000,1.809655,2.556505,2.564866,1.270816,0.501423
0.214000,1.937167,2.184745,1.070091,1.517720,0.555517
0.216000,1.996054,1.888042,1.184973,1.617765,0.615394
0.218000,1.984230,1.800027,2.324525,1.667004,0.777975
0.220000,1.902112,1.485926,3.107675,1.618085,0.999588
0.222000,1.752612,2.041850,3.232265,1.732568,1.211971
0.224000,1.541025,1.230289,1.730732,1.596874,1.261318
0.226000,1.274849,1.170765,0.811874,1.481758,1.218565
0.228000,0.963509,0.650142,0.593761,1.257092,1.159130
0.230000,0.618032,0.955867,1.176432,1.175714,1.160776
0.232000,0.250668,-0.249686,-0.143380,0.790633,1.036718
0.234000,-0.125580,0.065743,-1.597022,0.594800,0.786184
0.236000,-0.497379,-1.045905,0.864775,0.151553,0.793660
0.238000,-0.851561,-1.114774,-0.831602,-0.190553,0.639057
0.240000,-1.175570,-0.971213,-1.654752,-0.401453,0.420859
0.242000,-1.457937,-1.457502,-3.930855,-0.686751,0.006902
0.244000,-1.688656,-0.784960,-0.743934,-0.713283,-0.064521
0.246000,-1.859553,-1.659747,-2.461430,-0.968976,-0.292527
0.248000,-1.964574,-2.083178,-1.684546,-1.269985,-0.424943
0.250000,-2.000000,-1.586971,-2.350816,-1.355621,-0.608141
0.252000,-1.964574,-2.228610,-2.917068,-1.591464,-0.827778
0.254000,-1.859553,-1.203915,-1.686445,-1.486765,-0.909458
0.256000,-1.688655,-1.423677,0.376193,-1.469722,-0.787161
0.258000,-1.457939,-1.515191,-1.971626,-1.482005,-0.899833
0.260000,-1.175573,-1.374872,-1.259073,-1.453063,-0.934006
0.262000,-0.851561,-0.628172,-0.333103,-1.230213,-0.876845
0.264000,-0.497379,-0.510153,-1.649881,-1.035685,-0.950380
0.266000,-0.125580,0.189844,-1.241825,-0.704600,-0.978104
0.268000,0.250668,0.296030,0.215451,-0.434274,-0.864567
0.270000,0.618036,0.665023,0.945569,-0.137292,-0.692378
0.272000,0.963509,1.081442,0.590796,0.191956,-0.570316
0.274000,1.274847,1.710516,1.279009,0.602205,-0.394399
0.276000,1.541025,1.331091,0.696422,0.799118,-0.290635
0.278000,1.752613,2.197173,1.274350,1.176811,-0.141766
0.280000,1.902113,2.019705,3.946285,1.404524,0.247110
0.282000,1.984230,1.993109,2.121864,1.563534,0.425446
0.284000,1.996053,2.135475,2.352868,1.718047,0.608792
0.286000,1.937166,3.002179,1.982716,2.064964,0.739486
0.288000,1.809654,2.123264,1.331965,2.080714,0.795846
0.290000,1.618034,0.881382,1.630650,1.756707,0.875256
0.292000,1.369095,1.726293,0.838513,1.748490,0.871761
0.294000,1.071654,0.963420,-0.401301,1.536399,0.750661
0.296000,0.736249,0.272590,0.759326,1.194973,0.751485
0.298000,0.374763,0.271717,1.315188,0.945550,0.805108
0.300000,-0.000004,0.316796,-0.108047,0.775688,0.718244
0.302000,-0.374759,-0.154132,-1.444632,0.524491,0.512500
0.304000,-0.736246,-0.755839,-0.894934,0.178602,0.378618
0.306000,-1.071654,-0.756697,-0.772698,-0.074075,0.269099
0.308000,-1.369095,-1.982290,-1.405227,-0.589591,0.109829
0.310000,-1.618034,-1.444349,-1.338925,-0.820509,-0.027983
0.312000,-1.809655,-1.340859,-0.553568,-0.961085,-0.077980
0.314000,-1.937167,-2.271554,-2.334651,-1.315116,-0.292645
0.316000,-1.996054,-2.308371,-2.604805,-1.583450,-0.512589
0.318000,-1.984230,-2.248355,-2.120099,-1.763078,-0.665504
0.320000,-1.902114,-2.164594,-2.576989,-1.871550,-0.847333
0.322000,-1.752614,-1.103949,-0.928797,-1.664178,-0.855083
0.324000,-1.541025,-1.838392,-4.156891,-1.711243,-1.169167
0.326000,-1.274846,-1.627290,-1.158092,-1.688563,-1.168113
0.328000,-0.963505,-0.939859,-1.440603,-1.486296,-1.194034
0.330000,-0.618032,-1.019645,-0.382383,-1.360227,-1.116826
0.332000,-0.250668,0.427357,-0.110414,-0.877300,-1.021091
0.334000,0.125580,0.180391,-0.929246,-0.591558,-1.012354
0.336000,0.497379,0.858991,-0.649320,-0.199683,-0.977821
0.338000,0.851558,0.743538,1.507410,0.055134,-0.741413
0.340000,1.175573,1.515075,3.863324,0.449546,-0.303388
0.342000,1.457940,1.490553,1.689522,0.730780,-0.113813
0.344000,1.688658,2.085131,1.814049,1.096667,0.069575
0.346000,1.859552,2.594362,1.843299,1.501278,0.238301
0.348000,1.964574,1.931624,2.136501,1.617539,0.418867
0.350000,2.000000,1.641616,-0.335511,1.624043,0.347107
0.352000,1.964575,1.930828,1.966398,1.706923,0.501142
0.354000,1.859551,1.623855,3.984021,1.684482,0.832450
0.356000,1.688653,1.924075,0.915884,1.749209,0.840387
0.358000,1.457934,1.207159,0.664623,1.602771,0.823667
0.360000,1.175567,1.278878,1.388858,1.515269,0.877431
0.362000,0.851561,1.215727,1.020236,1.434346,0.891015
0.364000,0.497382,0.326930,-1.517207,1.135171,0.661933
0.366000,0.125583,0.360491,0.856870,0.925886,0.680477
0.368000,-0.250664,-0.764019,0.666357,0.469348,0.679134
0.370000,-0.618032,-0.422753,-0.011577,0.228341,0.613430
0.372000,-0.963506,-0.761523,-0.575658,-0.039077,0.500318
0.374000,-1.274853,-0.710478,-0.137723,-0.220460,0.439624
0.376000,-1.541025,-1.634233,-1.844968,-0.602399,0.222303
0.378000,-1.752613,-1.636128,-1.978189,-0.881668,0.012981
0.380000,-1.902113,-2.192168,-2.762938,-1.235707,-0.251078
0.382000,-1.984229,-0.982617,0.572231,-1.167333,-0.172761
0.384000,-1.996054,-1.155371,-1.232873,-1.164102,-0.273604
0.386000,-1.937167,-1.712255,-0.659557,-1.312189,-0.310318
0.388000,-1.809654,-1.774738,-1.452207,-1.437149,-0.418940
0.390000,-1.618034,-1.740927,1.099061,-1.519217,-0.274540
0.392000,-1.369094,-1.248125,-2.162489,-1.445980,-0.454131
0.394000,-1.071654,-0.879918,-1.422394,-1.293055,-0.546237
0.396000,-0.736249,-0.195062,-1.529866,-0.996425,-0.639805
0.398000,-0.374763,-0.518128,-0.395683,-0.867210,-0.616583
0.400000,0.000000,0.268736,-0.584999,-0.560327,-0.613578
0.402000,0.374763,0.518864,-0.220386,-0.268777,-0.576176
0.404000,0.736250,0.920246,0.507548,0.052445,-0.473087
0.406000,1.071654,1.075850,1.568116,0.328924,-0.278917
0.408000,1.369095,0.997183,1.665924,0.509458,-0.093915
0.410000,1.618035,1.803486,1.033778,0.859048,0.013357
0.412000,1.809655,1.929871,3.651538,1.148337,0.359439
0.414000,1.937167,2.088136,4.652596,1.402230,0.767825
0.416000,1.996054,2.319297,1.515053,1.649981,0.838905
0.418000,1.984229,1.956655,2.972358,1.732831,1.041850
0.420000,1.902115,1.643843,2.182905,1.708790,1.150392
0.422000,1.752612,1.883781,0.623715,1.756065,1.100292
0.424000,1.541025,1.698919,1.946617,1.740627,1.180799
0.426000,1.274846,1.436080,2.334247,1.658352,1.290520
0.428000,0.963505,0.627162,0.066219,1.379769,1.174059
0.430000,0.618032,0.619376,1.950959,1.174344,1.247961
0.432000,0.250664,0.273517,2.771074,0.930980,1.392847
0.434000,-0.125576,0.004781,-0.703090,0.680762,1.193472
0.436000,-0.497375,-0.252891,-0.415391,0.428530,1.040429
0.438000,-0.851555,-0.648058,-0.054995,0.137683,0.936227
0.440000,-1.175573,-0.903112,-0.625930,-0.143494,0.787627
0.442000,-1.457940,-1.482814,-1.428273,-0.505320,0.576839
0.444000,-1.688658,-0.980076,-3.192117,-0.633578,0.218318
0.446000,-1.859554,-1.764336,-1.332858,-0.939059,0.070762
0.448000,-1.964575,-1.940025,-2.697008,-1.209476,-0.192522
0.450000,-2.000000,-2.380179,-1.395234,-1.525749,-0.306930
0.452000,-1.964575,-2.277377,-3.082800,-1.728806,-0.570984
0.454000,-1.859554,-1.831466,-2.740919,-1.756540,-0.777399
0.456000,-1.688658,-1.754637,-0.237842,-1.756026,-0.726074
0.458000,-1.457934,-1.636563,-1.599983,-1.723752,-0.809204
0.460000,-1.175567,-1.404248,-1.433051,-1.637436,-0.868548
0.462000,-0.851554,-0.829614,0.244656,-1.419198,-0.762654
0.464000,-0.497382,-0.531041,-1.720432,-1.179257,-0.853763
0.466000,-0.125583,0.207629,0.349154,-0.804581,-0.739335
0.468000,0.250664,0.116758,0.449096,-0.555676,-0.626286
0.470000,0.618032,0.147555,-0.298136,-0.365694,-0.595071
0.472000,0.963506,1.006359,2.210400,0.004975,-0.328200
0.474000,1.274847,0.860764,-0.208903,0.236172,-0.316852
0.476000,1.541030,1.089489,1.365713,0.466701,-0.156798
0.478000,1.752613,2.026767,3.764046,0.888162,0.216172
0.480000,1.902113,1.700124,2.126763,1.107519,0.397916
0.482000,1.984229,2.012025,2.801180,1.351877,0.626527
0.484000,1.996054,1.656699,2.169612,1.434226,0.773313
0.486000,1.937167,1.776328,1.790546,1.526647,0.870077
