Time,Clean,LessNoisy,Noisy,LMSCleanLess,LMSCleanHeavy
0.000000,0.000000,-0.219392,0.857584,-0.219392,0.857584
0.002000,0.374763,0.491488,0.000842,0.491376,0.006342
0.004000,0.736249,0.735335,2.551197,0.735589,2.524628
0.006000,1.071654,1.258502,2.998383,1.258487,2.843827
0.008000,1.369094,1.343949,1.687937,1.344851,1.434625
0.010000,1.618034,1.533207,1.782861,1.534587,1.498571
0.012000,1.809654,2.128133,0.901396,2.128704,0.850802
0.014000,1.937166,1.847383,2.603528,1.850896,2.421203
0.016000,1.996053,1.659811,0.968386,1.666911,1.030149
0.018000,1.984229,2.546918,0.490515,2.551218,0.808597
0.020000,1.902113,1.871682,0.028479,1.883969,0.567954
0.022000,1.752613,1.786085,2.826525,1.796078,3.061322
0.024000,1.541026,1.335959,2.016049,1.347079,2.036219
0.026000,1.274848,0.718078,0.406444,0.741407,0.840984
0.028000,0.963507,0.938604,0.103842,0.947819,0.641233
0.030000,0.618034,1.147820,0.771790,1.151782,0.900697
0.032000,0.250666,0.651587,0.360272,0.656915,0.359443
0.034000,-0.125581,0.025723,-0.758615,0.025466,-0.017206
0.036000,-0.497380,-0.180877,-0.541065,-0.184478,0.204577
0.038000,-0.851558,-0.714112,0.154525,-0.717584,0.298181
0.040000,-1.175570,-1.320578,-2.078127,-1.319887,-1.704759
0.042000,-1.457937,-1.762130,0.525368,-1.759913,0.505513
0.044000,-1.688656,-1.360085,-2.108785,-1.386257,-1.607333
0.046000,-1.859553,-2.200237,-2.974590,-2.214709,-2.505335
0.048000,-1.964574,-1.893856,-0.006268,-1.918729,-0.601402
0.050000,-2.000000,-2.325149,-4.973582,-2.333359,-3.973404
0.052000,-1.964574,-1.991808,-2.535493,-2.001141,-3.180690
0.054000,-1.859553,-2.642995,-2.721650,-2.616685,-2.933756
0.056000,-1.688656,-1.784182,-1.666235,-1.782474,-1.726328
0.058000,-1.457937,-1.637107,-1.587095,-1.614827,-1.966999
0.060000,-1.175571,-1.241405,-1.091180,-1.238733,-1.301062
0.062000,-0.851559,-1.287529,-0.922187,-1.235655,-1.377249
0.064000,-0.497380,-0.755135,-0.788367,-0.717835,-0.659175
0.066000,-0.125581,-0.324974,0.831233,-0.270789,-0.067286
0.068000,0.250667,0.453960,0.221159,0.435141,0.540714
0.070000,0.618034,0.846752,-0.152032,0.789024,1.019240
0.072000,0.963507,0.803140,0.795535,0.757034,1.125066
0.074000,1.274848,1.016006,1.430909,0.991103,2.150386
0.076000,1.541026,1.440919,2.170557,1.394398,2.751056
0.078000,1.752614,1.714376,2.697088,1.653485,2.750076
0.080000,1.902113,1.376318,1.744507,1.366744,2.700308
0.082000,1.984229,2.129427,3.165518,2.055081,2.233878
0.084000,1.996053,2.165975,0.292900,2.067273,1.358826
0.086000,1.937166,2.299522,0.589617,2.169912,1.585888
0.088000,1.809654,1.433644,1.367365,1.390853,1.958124
0.090000,1.618033,1.594622,0.050721,1.526608,1.543310
0.092000,1.369095,1.089126,0.530063,1.063722,1.286160
0.094000,1.071654,1.424775,1.408700,1.333573,1.569457
0.096000,0.736249,0.837389,1.083494,0.782276,1.186387
0.098000,0.374763,0.535824,1.208411,0.465162,0.985619
0.100000,-0.000000,-0.208484,-1.185987,-0.234940,-0.067125
0.102000,-0.374763,-0.389879,-0.845886,-0.470654,-0.096405
0.104000,-0.736249,-0.643087,-1.577887,-0.699600,-0.569167
0.106000,-1.071654,-1.407816,-0.656692,-1.394539,-0.398946
0.108000,-1.369095,-0.565898,-2.187692,-0.693942,-1.176160
0.110000,-1.618034,-1.769487,-2.237662,-1.802974,-1.378785
0.112000,-1.809654,-2.061407,-0.931995,-2.046502,-1.424808
0.114000,-1.937166,-2.431241,-1.124159,-2.326988,-1.409682
0.116000,-1.996053,-1.717028,-1.344059,-1.769866,-1.435090
0.118000,-1.984229,-2.191572,-1.507947,-2.173759,-1.361817
0.120000,-1.902113,-1.192877,-2.882965,-1.346558,-1.880355
0.122000,-1.752613,-1.848866,-1.507493,-1.849436,-1.600758
0.124000,-1.541026,-1.673869,-2.781249,-1.679872,-1.911228
0.126000,-1.274848,-1.201089,-1.175263,-1.197105,-1.151463
0.128000,-0.963507,-0.950155,-2.190627,-0.985493,-1.263442
0.130000,-0.618035,-0.997203,-1.556546,-0.966022,-0.866640
0.132000,-0.250666,-0.871020,-1.736518,-0.766588,-0.843862
0.134000,0.125582,0.081498,-0.741203,0.082189,-0.065534
0.136000,0.497381,0.285470,2.400416,0.373442,0.943303
0.138000,0.851558,0.987738,1.324620,0.984554,1.252004
0.140000,1.175570,0.934830,1.959081,0.961664,1.425548
0.142000,1.457938,1.373148,1.317961,1.325527,1.537517
0.144000,1.688656,1.790314,1.391436,1.781474,2.097840
0.146000,1.859553,1.315295,0.285044,1.345507,2.198520
0.148000,1.964574,1.723006,2.410111,1.724119,3.265891
0.150000,2.000000,2.148759,2.314726,2.053745,3.322150
0.152000,1.964575,1.744283,1.064826,1.589386,2.598925
0.154000,1.859553,1.729114,1.850969,1.569288,2.495505
0.156000,1.688656,1.561059,3.915148,1.383309,2.723675
0.158000,1.457937,1.730506,0.865318,1.490391,1.912969
0.160000,1.175571,1.308380,2.633909,1.054880,1.737376
0.162000,0.851558,0.664585,0.831850,0.492124,1.261887
0.164000,0.497379,0.655633,-0.581981,0.478840,0.717013
0.166000,0.125582,0.140159,0.353468,-0.008056,0.274382
0.168000,-0.250666,0.137120,-0.405878,-0.058410,-0.188833
0.170000,-0.618035,-0.414722,-0.522466,-0.572079,-0.579093
0.172000,-0.963509,-0.978902,-1.264705,-1.054232,-1.099953
0.174000,-1.274847,-1.278814,-1.947061,-1.324527,-1.642295
0.176000,-1.541025,-1.859746,-1.695538,-1.846974,-1.703408
0.178000,-1.752614,-1.806711,-1.865464,-1.742484,-1.901845
0.180000,-1.902114,-1.764540,-2.997760,-1.728276,-2.203015
0.182000,-1.984229,-2.274266,-1.877979,-2.177336,-1.839625
0.184000,-1.996054,-1.917615,-1.155398,-1.864332,-1.942917
0.186000,-1.937167,-1.293774,-2.817724,-1.332176,-2.202441
0.188000,-1.809654,-1.436104,-0.503785,-1.428625,-1.771862
0.190000,-1.618034,-1.067001,-1.901851,-1.096275,-1.797365
0.192000,-1.369095,-1.589969,-3.822848,-1.472016,-1.673726
0.194000,-1.071654,-0.825774,-1.544047,-0.758349,-1.061073
0.196000,-0.736249,-0.298639,0.794558,-0.217186,-0.479260
0.198000,-0.374763,-0.502819,1.749348,-0.338148,-0.331277
0.200000,0.000000,0.174856,0.618282,0.324334,-0.290124
0.202000,0.374763,0.719417,0.426495,0.876737,-0.036097
0.204000,0.736250,0.515279,1.454790,0.784007,0.332671
0.206000,1.071654,1.098990,0.773350,1.360424,0.582463
0.208000,1.369095,1.159725,2.396900,1.489869,0.994690
0.210000,1.618032,1.559206,2.855410,1.845636,1.321465
0.212000,1.809655,2.556505,2.564866,2.694914,1.352416
0.214000,1.937167,2.184745,1.070091,2.416240,1.326768
0.216000,1.996054,1.888042,1.184973,2.124290,1.457043
0.218000,1.984230,1.800027,2.324525,2.011076,1.587220
0.220000,1.902112,1.485926,3.107675,1.682000,1.516334
0.222000,1.752612,2.041850,3.232265,2.092412,1.288035
0.224000,1.541025,1.230289,1.730732,1.362141,1.147387
0.226000,1.274849,1.170765,0.811874,1.236190,0.952458
0.228000,0.963509,0.650142,0.593761,0.721484,0.487850
0.230000,0.618032,0.955867,1.176432,0.921279,0.038319
0.232000,0.250668,-0.249686,-0.143380,-0.160910,-0.273440
0.234000,-0.125580,0.065743,-1.597022,0.001357,-0.267345
0.236000,-0.497379,-1.045905,0.864775,-0.969278,-0.620326
0.238000,-0.851561,-1.114774,-0.831602,-1.196428,-0.986388
0.240000,-1.175570,-0.971213,-1.654752,-1.100047,-1.296804
0.242000,-1.457937,-1.457502,-3.930855,-1.586541,-1.350713
0.244000,-1.688656,-0.784960,-0.743934,-1.053765,-1.424710
0.246000,-1.859553,-1.659747,-2.461430,-1.751268,-1.370820
0.248000,-1.964574,-2.083178,-1.684546,-2.146390,-1.175953
0.250000,-2.000000,-1.586971,-2.350816,-1.651029,-1.262106
0.252000,-1.964574,-2.228610,-2.917068,-2.204159,-1.042655
0.254000,-1.859553,-1.203915,-1.686445,-1.281016,-1.209039
0.256000,-1.688655,-1.423677,0.376193,-1.421906,-1.507285
0.258000,-1.457939,-1.515191,-1.971626,-1.392612,-1.487947
0.260000,-1.175573,-1.374872,-1.259073,-1.270334,-1.318607
0.262000,-0.851561,-0.628172,-0.333103,-0.544429,-1.246157
0.264000,-0.497379,-0.510153,-1.649881,-0.365978,-0.813723
0.266000,-0.125580,0.189844,-1.241825,0.223098,0.004963
0.268000,0.250668,0.296030,0.215451,0.431075,0.272345
0.270000,0.618036,0.665023,0.945569,0.743548,0.666680
0.272000,0.963509,1.081442,0.590796,1.143627,1.040711
0.274000,1.274847,1.710516,1.279009,1.747918,1.803508
0.276000,1.541025,1.331091,0.696422,1.452500,2.079268
0.278000,1.752613,2.197173,1.274350,2.205026,2.541032
0.280000,1.902113,2.019705,3.946285,2.088343,2.585933
0.282000,1.984230,1.993109,2.121864,2.063182,2.658957
0.284000,1.996053,2.135475,2.352868,2.151189,2.603940
0.286000,1.937166,3.002179,1.982716,2.888386,2.384946
0.288000,1.809654,2.123264,1.331965,2.178891,1.820369
0.290000,1.618034,0.881382,1.630650,1.126579,1.486646
0.292000,1.369095,1.726293,0.838513,1.695035,1.248971
0.294000,1.071654,0.963420,-0.401301,1.034994,1.115543
0.296000,0.736249,0.272590,0.759326,0.352451,1.004203
0.298000,0.374763,0.271717,1.315188,0.266549,0.701105
0.300000,-0.000004,0.316796,-0.108047,0.185316,0.260264
0.302000,-0.374759,-0.154132,-1.444632,-0.243141,-0.118065
0.304000,-0.736246,-0.755839,-0.894934,-0.838447,-0.238542
0.306000,-1.071654,-0.756697,-0.772698,-0.867462,-0.470443
0.308000,-1.369095,-1.982290,-1.405227,-1.926448,-0.649179
0.310000,-1.618034,-1.444349,-1.338925,-1.576790,-0.910192
0.312000,-1.809655,-1.340859,-0.553568,-1.561093,-1.728878
0.314000,-1.937167,-2.271554,-2.334651,-2.292289,-2.080529
0.316000,-1.996054,-2.308371,-2.604805,-2.314220,-2.278777
0.318000,-1.984230,-2.248355,-2.120099,-2.257386,-2.305337
0.320000,-1.902114,-2.164594,-2.576989,-2.123154,-2.076570
0.322000,-1.752614,-1.103949,-0.928797,-1.324202,-2.183539
0.324000,-1.541025,-1.838392,-4.156891,-1.797578,-1.476015
0.326000,-1.274846,-1.627290,-1.158092,-1.558531,-0.750555
0.328000,-0.963505,-0.939859,-1.440603,-0.995523,-0.271435
0.330000,-0.618032,-1.019645,-0.382383,-0.946605,-0.030352
0.332000,-0.250668,0.427357,-0.110414,0.184980,0.203778
0.334000,0.125580,0.180391,-0.929246,0.165505,1.059164
0.336000,0.497379,0.858991,-0.649320,0.765144,1.815490
0.338000,0.851558,0.743538,1.507410,0.803377,2.131425
0.340000,1.175573,1.515075,3.863324,1.432300,1.787298
0.342000,1.457940,1.490553,1.689522,1.516746,1.744369
0.344000,1.688658,2.085131,1.814049,1.987580,1.474394
0.346000,1.859552,2.594362,1.843299,2.402035,1.522356
0.348000,1.964574,1.931624,2.136501,1.932937,1.651637
0.350000,2.000000,1.641616,-0.335511,1.775330,2.316846
0.352000,1.964575,1.930828,1.966398,1.954170,2.459548
0.354000,1.859551,1.623855,3.984021,1.713886,1.649590
0.356000,1.688653,1.924075,0.915884,1.855130,1.972407
0.358000,1.457934,1.207159,0.664623,1.267725,1.745340
0.360000,1.175567,1.278878,1.388858,1.277569,1.605336
0.362000,0.851561,1.215727,1.020236,1.110334,1.227325
0.364000,0.497382,0.326930,-1.517207,0.390797,1.159531
0.366000,0.125583,0.360491,0.856870,0.263205,1.129461
0.368000,-0.250664,-0.764019,0.666357,-0.589286,1.091268
0.370000,-0.618032,-0.422753,-0.011577,-0.504466,0.264347
0.372000,-0.963506,-0.761523,-0.575658,-0.851337,-1.090010
