Time,Clean,LessNoisy,Noisy,MMSELessNoisy,MMSENoisy
0.000000,0.000000,-0.219392,0.857584,0.000000,0.000000
0.002000,0.374763,0.491488,0.000842,0.000000,0.000000
0.004000,0.736249,0.735335,2.551197,0.000000,0.000000
0.006000,1.071654,1.258502,2.998383,0.000000,0.000000
0.008000,1.369094,1.343949,1.687937,0.000000,0.000000
0.010000,1.618034,1.533207,1.782861,0.000000,0.000000
0.012000,1.809654,2.128133,0.901396,-0.001653,0.000003
0.014000,1.937166,1.847383,2.603528,0.002927,0.007806
0.016000,1.996053,1.659811,0.968386,0.027251,0.052844
0.018000,1.984229,2.546918,0.490515,0.077188,0.066806
0.020000,1.902113,1.871682,0.028479,0.209377,0.080042
0.022000,1.752613,1.786085,2.826525,0.403880,0.052501
0.024000,1.541026,1.335959,2.016049,0.595444,0.192300
0.026000,1.274848,0.718078,0.406444,0.704038,0.239356
0.028000,0.963507,0.938604,0.103842,0.826586,0.210374
0.030000,0.618034,1.147820,0.771790,0.838839,0.155003
0.032000,0.250666,0.651587,0.360272,0.895088,0.260139
0.034000,-0.125581,0.025723,-0.758615,0.734706,0.244436
0.036000,-0.497380,-0.180877,-0.541065,0.352116,0.131746
0.038000,-0.851558,-0.714112,0.154525,0.105894,0.091196
0.040000,-1.175570,-1.320578,-2.078127,-0.171837,0.127324
0.042000,-1.457937,-1.762130,0.525368,-0.601393,-0.065873
0.044000,-1.688656,-1.360085,-2.108785,-1.056185,-0.075279
0.046000,-1.859553,-2.200237,-2.974590,-1.167922,-0.198239
0.048000,-1.964574,-1.893856,-0.006268,-1.517224,-0.345130
0.050000,-2.000000,-2.325149,-4.973582,-1.621289,-0.370228
0.052000,-1.964574,-1.991808,-2.535493,-1.802958,-0.578070
0.054000,-1.859553,-2.642995,-2.721650,-1.630768,-0.750681
0.056000,-1.688656,-1.784182,-1.666235,-1.855002,-0.874611
0.058000,-1.457937,-1.637107,-1.587095,-1.490355,-0.763289
0.060000,-1.175571,-1.241405,-1.091180,-1.234912,-1.044562
0.062000,-0.851559,-1.287529,-0.922187,-0.812165,-0.883434
0.064000,-0.497380,-0.755135,-0.788367,-0.749125,-0.820193
0.066000,-0.125581,-0.324974,0.831233,-0.261580,-0.607530
0.068000,0.250667,0.453960,0.221159,0.205773,-0.322994
0.070000,0.618034,0.846752,-0.152032,0.888222,-0.006284
0.072000,0.963507,0.803140,0.795535,1.274587,0.268160
0.074000,1.274848,1.016006,1.430909,1.327052,0.503568
0.076000,1.541026,1.440919,2.170557,1.469643,0.913021
0.078000,1.752614,1.714376,2.697088,1.824460,1.158453
0.080000,1.902113,1.376318,1.744507,2.036998,1.503657
0.082000,1.984229,2.129427,3.165518,1.721817,1.591509
0.084000,1.996053,2.165975,0.292900,2.081419,1.776016
0.086000,1.937166,2.299522,0.589617,2.173931,1.710968
0.088000,1.809654,1.433644,1.367365,2.207410,1.312323
0.090000,1.618033,1.594622,0.050721,1.524417,1.299520
0.092000,1.369095,1.089126,0.530063,1.451180,1.019075
0.094000,1.071654,1.424775,1.408700,1.088732,0.542226
0.096000,0.736249,0.837389,1.083494,1.115233,0.432644
0.098000,0.374763,0.535824,1.208411,0.603947,0.259601
0.100000,-0.000000,-0.208484,-1.185987,0.225725,0.073222
0.102000,-0.374763,-0.389879,-0.845886,-0.364833,-0.403501
0.104000,-0.736249,-0.643087,-1.577887,-0.600081,-0.698042
0.106000,-1.071654,-1.407816,-0.656692,-0.824887,-0.995637
0.108000,-1.369095,-0.565898,-2.187692,-1.427753,-1.018957
0.110000,-1.618034,-1.769487,-2.237662,-0.985062,-1.375157
0.112000,-1.809654,-2.061407,-0.931995,-1.660060,-1.413410
0.114000,-1.937166,-2.431241,-1.124159,-2.007517,-1.469202
0.116000,-1.996053,-1.717028,-1.344059,-2.264758,-1.270209
0.118000,-1.984229,-2.191572,-1.507947,-1.695591,-1.372523
0.120000,-1.902113,-1.192877,-2.882965,-1.818590,-1.241821
0.122000,-1.752613,-1.848866,-1.507493,-1.258051,-1.240371
0.124000,-1.541026,-1.673869,-2.781249,-1.373413,-1.035262
0.126000,-1.274848,-1.201089,-1.175263,-1.235219,-0.857658
0.128000,-0.963507,-0.950155,-2.190627,-0.767030,-0.482245
0.130000,-0.618035,-0.997203,-1.556546,-0.363974,-0.354255
0.132000,-0.250666,-0.871020,-1.736518,-0.292807,0.011139
0.134000,0.125582,0.081498,-0.741203,-0.239278,-0.105888
0.136000,0.497381,0.285470,2.400416,0.398369,0.239550
0.138000,0.851558,0.987738,1.324620,0.807720,0.655176
0.140000,1.175570,0.934830,1.959081,1.248499,0.927794
0.142000,1.457938,1.373148,1.317961,1.415599,1.311027
0.144000,1.688656,1.790314,1.391436,1.655751,1.541511
0.146000,1.859553,1.315295,0.285044,2.135740,2.109685
0.148000,1.964574,1.723006,2.410111,1.793017,1.896480
0.150000,2.000000,2.148759,2.314726,1.963113,2.147407
0.152000,1.964575,1.744283,1.064826,2.106445,2.237845
0.154000,1.859553,1.729114,1.850969,2.007435,1.981473
0.156000,1.688656,1.561059,3.915148,1.664745,1.759379
0.158000,1.457937,1.730506,0.865318,1.521857,1.802908
0.160000,1.175571,1.308380,2.633909,1.518937,1.494260
0.162000,0.851558,0.664585,0.831850,1.168808,1.142856
0.164000,0.497379,0.655633,-0.581981,0.604971,0.854987
0.166000,0.125582,0.140159,0.353468,0.379941,0.495642
0.168000,-0.250666,0.137120,-0.405878,0.041388,-0.004185
0.170000,-0.618035,-0.414722,-0.522466,-0.204151,-0.291243
0.172000,-0.963509,-0.978902,-1.264705,-0.587427,-0.773611
0.174000,-1.274847,-1.278814,-1.947061,-1.098432,-1.081218
0.176000,-1.541025,-1.859746,-1.695538,-1.372911,-1.576626
0.178000,-1.752614,-1.806711,-1.865464,-1.846393,-1.899995
0.180000,-1.902114,-1.764540,-2.997760,-1.841856,-2.063410
0.182000,-1.984229,-2.274266,-1.877979,-1.855157,-2.522863
0.184000,-1.996054,-1.917615,-1.155398,-2.040100,-2.491143
0.186000,-1.937167,-1.293774,-2.817724,-1.921005,-2.192835
0.188000,-1.809654,-1.436104,-0.503785,-1.347297,-2.246042
0.190000,-1.618034,-1.067001,-1.901851,-1.095249,-1.612290
0.192000,-1.369095,-1.589969,-3.822848,-0.812736,-1.476092
0.194000,-1.071654,-0.825774,-1.544047,-0.891824,-1.250535
0.196000,-0.736249,-0.298639,0.794558,-0.397360,-1.060469
0.198000,-0.374763,-0.502819,1.749348,0.106783,-0.248467
0.200000,0.000000,0.174856,0.618282,0.171530,0.521292
0.202000,0.374763,0.719417,0.426495,0.477958,0.764765
0.204000,0.736250,0.515279,1.454790,0.956913,1.093502
0.206000,1.071654,1.098990,0.773350,1.053009,1.631454
0.208000,1.369095,1.159725,2.396900,1.301875,1.896223
0.210000,1.618032,1.559206,2.855410,1.447212,2.070797
0.212000,1.809655,2.556505,2.564866,1.717156,2.241009
