Time,Clean,LessNoisy,Noisy
0.000000,0.000000,-0.050817,-1.288708
0.010000,0.772542,0.999751,0.613190
0.020000,1.469463,1.649642,1.504354
0.030000,2.022542,1.857911,1.548627
0.040000,2.377641,2.219004,4.637213
0.050000,2.500000,2.981811,3.542828
0.060000,2.377641,2.062349,3.504401
0.070000,2.022542,1.989183,3.744337
0.080000,1.469463,1.190754,2.560745
0.090000,0.772542,0.759362,1.041030
0.100000,-0.000000,-0.220118,-1.807367
0.110000,-0.772543,-0.403375,-2.329447
0.120000,-1.469463,-1.475505,-0.245439
0.130000,-2.022543,-2.298952,-3.766720
0.140000,-2.377641,-2.413347,-2.201777
0.150000,-2.500000,-2.050798,-1.823497
0.160000,-2.377641,-2.349649,-2.381361
0.170000,-2.022542,-1.946613,-1.499579
0.180000,-1.469462,-1.670730,-2.140817
0.190000,-0.772542,-0.578788,-0.886035
0.200000,0.000000,0.262668,1.199391
0.210000,0.772543,0.886926,3.204329
0.220000,1.469464,1.112259,0.803377
0.230000,2.022543,1.984114,1.764472
0.240000,2.377641,2.519727,0.155267
0.250000,2.500000,2.573987,3.421707
0.260000,2.377641,2.367035,2.252953
0.270000,2.022542,2.280875,3.407158
0.280000,1.469462,1.494121,0.600832
0.290000,0.772543,0.635509,0.059598
0.300000,-0.000002,-0.280730,0.362644
0.310000,-0.772543,-0.234452,-1.355899
0.320000,-1.469464,-1.019791,-0.530161
0.330000,-2.022543,-2.124721,-2.178362
0.340000,-2.377642,-2.592128,-3.273003
0.350000,-2.500000,-2.466340,-2.188842
0.360000,-2.377641,-1.932447,-3.700055
0.370000,-2.022541,-1.951914,-4.699312
0.380000,-1.469463,-1.547008,-1.345220
0.390000,-0.772542,-1.220809,-0.389095
0.400000,0.000001,0.007325,0.463105
0.410000,0.772544,0.870549,0.166102
0.420000,1.469464,1.312137,0.321308
0.430000,2.022543,1.666627,2.709543
0.440000,2.377642,2.310320,3.390108
0.450000,2.500000,2.563455,1.771789
0.460000,2.377640,1.732584,1.251031
0.470000,2.022542,1.728823,1.519862
0.480000,1.469462,1.564857,0.857569
0.490000,0.772541,0.670690,0.149366
0.500000,-0.000002,-0.399705,2.934639
0.510000,-0.772544,-0.989861,0.750069
0.520000,-1.469465,-0.275266,-0.586485
0.530000,-2.022541,-1.897529,0.560751
0.540000,-2.377642,-2.525391,-4.549088
0.550000,-2.500000,-2.148701,-3.273304
0.560000,-2.377640,-2.314667,-1.128730
0.570000,-2.022543,-2.027925,1.242204
0.580000,-1.469464,-1.080127,-0.865200
0.590000,-0.772543,-0.621081,-0.734129
0.600000,0.000005,0.229187,0.637147
0.610000,0.772547,0.911958,0.512794
0.620000,1.469464,1.775041,2.590828
0.630000,2.022543,2.103345,1.091102
0.640000,2.377642,2.748628,2.067003
0.650000,2.500000,2.374680,2.011504
0.660000,2.377641,2.435433,1.567828
0.670000,2.022541,2.573820,1.809483
0.680000,1.469461,0.794985,-0.239452
0.690000,0.772540,1.087701,0.679003
0.700000,-0.000003,0.182366,1.081761
0.710000,-0.772541,-0.570367,-0.977456
0.720000,-1.469466,-1.447248,-0.812325
0.730000,-2.022545,-1.687098,-1.590891
0.740000,-2.377643,-2.389238,-0.503995
0.750000,-2.500000,-1.945462,-1.728338
0.760000,-2.377641,-1.977402,-4.001554
0.770000,-2.022542,-1.636280,-3.316049
0.780000,-1.469462,-1.558883,-1.938077
0.790000,-0.772537,-0.623699,-3.242844
0.800000,0.000002,0.135952,-1.456924
0.810000,0.772544,0.955937,0.167030
0.820000,1.469465,1.625807,-0.819804
0.830000,2.022544,2.397565,2.251005
0.840000,2.377642,2.111442,1.716300
0.850000,2.500000,2.385881,1.606258
0.860000,2.377640,2.538581,2.837944
0.870000,2.022540,2.282008,4.066984
0.880000,1.469460,0.872898,2.916105
0.890000,0.772543,0.870627,0.735608
0.900000,-0.000000,0.172339,-0.579470
0.910000,-0.772547,-0.860424,-1.983204
0.920000,-1.469468,-1.861748,-1.644998
0.930000,-2.022546,-1.976617,-0.862488
0.940000,-2.377642,-2.048524,-2.903044
0.950000,-2.500000,-2.608996,-1.937448
0.960000,-2.377641,-2.289170,-3.192077
0.970000,-2.022538,-1.656280,-2.169370
0.980000,-1.469461,-1.611292,-0.753615
0.990000,-0.772540,-0.635412,-0.171057
